f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,contains_bug
19,2,29,123.19,16.29,931.62,51.76,13,18,3,FALSE
8,1,18,66.61,23.68,187.33,10.41,5,9,1,TRUE
21,7,78,342.6,14.68,7994.02,444.11,18,43,13,FALSE
70,1,151,946.28,466.75,1918.5,106.58,39,77,1,TRUE
26,4,80,376.04,42.3,3342.53,185.7,19,40,7,FALSE
27,7,69,307.7,21.22,4461.66,247.87,24,40,13,FALSE
31,7,87,453.22,26.02,7893.62,438.53,21,54,13,TRUE
40,6,153,791,26.71,23427.52,1301.53,32,100,11,FALSE
8,1,15,53.77,12.8,225.85,12.55,4,9,1,TRUE
35,8,93,431.88,11.58,16102.9,894.61,28,64,13,FALSE
12,2,22,83.76,13.96,502.57,27.92,8,13,3,FALSE
47,6,165,945.11,42.72,20906.91,1161.49,39,92,11,FALSE
11,1,26,104,52,208,11.56,2,14,1,TRUE
31,4,87,387.97,16.42,9165.8,509.21,21,60,7,FALSE
128,22,399,2445.58,51.73,115609.42,6422.75,95,247,43,TRUE
171,18,579,3720.81,107.99,128201.25,7122.29,111,336,35,TRUE
24,4,76,365.36,21.49,6211.1,345.06,17,42,7,FALSE
96,35,0,0,0,0,0,0,0,69,FALSE
20,3,48,240,26.67,2160,120,18,30,4,FALSE
29,6,71,344.92,18.03,6596.53,366.47,24,44,11,FALSE
42,5,103,555.41,50.49,6109.5,339.42,33,59,7,TRUE
77,1,365,2273.52,217.61,23753.18,1319.62,67,190,1,TRUE
14,2,34,144.43,26.48,787.8,43.77,8,19,3,FALSE
42,6,127,661.6,41.8,10470.55,581.7,34,75,11,FALSE
50,10,154,845.75,48.03,14891.16,827.29,35,96,19,TRUE
46,6,144,738.62,30.25,18037.8,1002.1,39,86,11,FALSE
57,5,141,765.1,41.06,14257.41,792.08,34,84,9,TRUE
57,5,110,528.81,28.78,9716.87,539.83,39,61,9,TRUE
235,17,701,4807.44,135.94,170018.12,9445.45,168,415,33,TRUE
20,3,27,112.59,25.59,495.39,27.52,10,16,5,FALSE
21,2,77,332.79,17.75,6239.78,346.65,15,52,3,TRUE
4,1,4,8,5.33,12,0.67,2,3,1,FALSE
54,10,143,771.1,34.85,17060.62,947.81,40,84,19,TRUE
64,8,151,709.77,18.59,27100.17,1505.57,42,95,15,FALSE
21,6,79,405.21,27.68,5931.87,329.55,13,48,11,FALSE
19,5,39,181.11,20.33,1613.53,89.64,15,25,9,FALSE
472,24,1954,14791.5,206.64,1058764.59,58820.26,383,1058,47,TRUE
24,2,0,0,0,0,0,0,0,3,TRUE
50,16,149,716.3,23.49,21847.02,1213.72,38,88,31,TRUE
25,5,67,311.14,21.27,4550.4,252.8,17,40,9,TRUE
10,2,33,151.3,25.54,896.18,49.79,7,19,3,FALSE
90,11,223,1231.75,51.95,29204.5,1622.47,61,125,21,FALSE
73,10,0,0,0,0,0,0,0,19,TRUE
26,1,71,333.73,48.44,2299.04,127.72,23,40,1,FALSE
151,25,346,2148.47,53.96,85536,4752,112,199,46,TRUE
6,2,14,48.43,13.45,174.36,9.69,4,8,3,FALSE
52,13,172,970.74,32.5,28983.62,1610.2,44,96,25,FALSE
1,1,1,1,1,1,1,1,1,1,TRUE
23,3,0,0,0,0,0,0,0,5,TRUE
48,11,142,784.35,38.48,15988.59,888.25,43,89,16,TRUE
27,4,114,643.4,54.59,7582.92,421.27,22,59,7,TRUE
130,28,475,2891.54,81.17,103011.29,5722.85,91,304,55,TRUE
8,1,13,43.19,17.27,107.96,6,4,8,1,TRUE
31,1,82,417.17,52.86,3292.03,182.89,20,49,1,FALSE
44,16,474,2675.19,48.29,148186.3,8232.57,32,333,31,TRUE
17,2,38,169.46,16.61,1728.48,96.03,11,23,5,TRUE
14,3,28,114.45,13.35,980.99,54.5,10,16,5,TRUE
30,5,51,236.84,22.31,2514.11,139.67,23,28,9,FALSE
57,7,189,1025.56,32.07,32794.73,1821.93,36,122,13,FALSE
343,68,1189,7864.89,82.1,753456.46,41858.69,271,710,135,TRUE
4,1,5,11.61,7.74,17.41,0.97,2,3,1,FALSE
92,19,0,0,0,0,0,0,0,37,TRUE
318,75,1477,11112.3,176.24,700659.82,38925.55,287,887,149,TRUE
36,10,101,530.04,60.51,4642.76,257.93,32,58,19,TRUE
4,1,4,8,5.33,12,0.67,2,3,1,FALSE
64,7,0,0,0,0,0,0,0,13,TRUE
350,58,1105,7403.99,94.26,581549.44,32308.3,265,657,115,TRUE
107,10,336,2023.52,47.06,87011.17,4833.95,74,207,18,TRUE
25,2,31,133.98,14.43,1244.1,69.12,10,21,3,FALSE
4,1,4,8,5.33,12,0.67,2,3,1,FALSE
28,7,113,613.17,34.76,10816.28,600.9,21,64,13,FALSE
24,2,62,304.23,33.15,2791.73,155.1,17,38,3,FALSE
69,6,212,1225.65,62.76,23934.19,1329.68,45,138,11,TRUE
53,6,160,873.51,42.69,17874.58,993.03,41,95,11,TRUE
22,2,68,288.86,15.32,5447.06,302.61,16,46,3,TRUE
30,2,86,433.82,32.54,5784.24,321.35,24,54,3,TRUE
145,10,382,2349.2,56.87,97048.2,5391.57,89,239,19,TRUE
98,18,491,3269.18,84.58,126364.78,7020.27,75,268,35,TRUE
39,5,0,0,0,0,0,0,0,9,FALSE
193,36,619,3656.37,104.97,127363.39,7075.74,148,410,71,TRUE
37,4,63,299.56,20.6,4355.11,241.95,22,36,7,FALSE
92,8,0,0,0,0,0,0,0,15,TRUE
85,9,277,1714.58,52.53,55961.02,3108.95,69,161,13,TRUE
15,3,52,249.98,22.81,2740.19,152.23,7,33,5,FALSE
15,2,27,102.8,22.84,462.59,25.7,9,15,3,TRUE
6,2,12,43.02,10.75,172.08,9.56,3,8,3,FALSE
10,3,26,106.27,13.53,835.01,46.39,7,15,5,FALSE
45,6,80,416.76,28.2,6158.73,342.15,29,52,9,TRUE
14,10,85,408.63,18.92,8826.3,490.35,9,61,19,TRUE
17,1,39,181.11,27.12,1209.56,67.2,10,22,1,TRUE
7,1,45,166.52,24.28,1141.85,63.44,5,29,1,TRUE
18,3,34,144.43,12.04,1733.15,96.29,11,20,5,FALSE
147,19,458,2994.93,96.21,93233.62,5179.65,108,279,37,TRUE
170,19,1264,8245.78,82.13,827903.14,45994.62,146,851,28,TRUE
12,4,49,227.55,23.48,2205.47,122.53,8,28,7,TRUE
18,2,62,287.92,23.11,3586.99,199.28,12,39,3,FALSE
21,4,63,306.05,33.35,2808.48,156.03,18,37,7,FALSE
19,3,52,241.48,23.78,2451.96,136.22,13,30,5,TRUE
45,7,121,581.69,23.58,14348.35,797.13,38,84,13,TRUE
256,15,755,5099.94,127.35,204237.6,11346.53,154,459,29,TRUE
24,4,0,0,0,0,0,0,0,7,TRUE
166,20,0,0,0,0,0,0,0,39,TRUE
96,11,232,1335.13,58.69,30374.3,1687.46,75,141,21,TRUE
9,1,17,60.94,30.47,121.89,6.77,4,9,1,FALSE
15,2,57,264.7,24.95,2807.71,155.98,12,30,3,FALSE
13,2,28,118.94,19.46,726.87,40.38,12,17,3,FALSE
48,9,118,665.98,44.35,10000.37,555.58,35,69,17,TRUE
253,32,648,4411.17,79.87,243616.67,13534.26,166,405,58,TRUE
155,11,540,3135.97,46.44,211762.84,11764.6,106,277,16,TRUE
28,1,64,293.44,22.57,3814.69,211.93,20,42,1,FALSE
14,2,29,96.34,10.32,899.14,49.95,6,21,3,TRUE
87,1,155,959.42,429.87,2141.32,118.96,38,78,1,TRUE
21,1,0,0,0,0,0,0,0,1,FALSE
154,39,0,0,0,0,0,0,0,75,TRUE
43,7,97,493.48,41.12,5921.81,328.99,31,53,13,TRUE
37,4,166,941.62,47.68,18597.05,1033.17,32,87,7,TRUE
15,2,41,182.84,24.38,1371.28,76.18,12,23,3,TRUE
5,2,15,55.51,15.86,194.27,10.79,3,9,3,FALSE
19,6,0,0,0,0,0,0,0,11,TRUE
27,5,71,358.15,22.11,5802.06,322.34,21,44,9,TRUE
8,2,25,102.19,16.52,632.28,35.13,6,14,3,TRUE
24,2,59,254.99,19.61,3314.92,184.16,13,33,3,TRUE
38,9,0,0,0,0,0,0,0,15,TRUE
4,1,4,8,5.33,12,0.67,2,3,1,FALSE
72,3,0,0,0,0,0,0,0,5,TRUE
6,1,19,53.34,7.11,400.05,22.22,4,13,1,FALSE
48,4,129,695.61,40.1,12067.3,670.41,29,87,7,TRUE
20,12,368,1984.37,35.44,111124.88,6173.6,11,284,23,FALSE
25,3,74,347.83,27.05,4472.13,248.45,21,44,5,FALSE
32,3,73,385.83,34.44,4323.1,240.17,24,44,4,TRUE
155,23,534,3491.91,64.48,189081.51,10504.53,125,295,45,TRUE
29,3,87,408.94,26.51,6309.33,350.52,20,51,5,TRUE
41,3,180,865.32,29.97,24986.23,1388.12,24,103,5,FALSE
34,2,0,0,0,0,0,0,0,3,TRUE
44,4,114,602.54,34.28,10589.57,588.31,23,77,7,TRUE
11,4,60,282.03,31.12,2555.86,141.99,7,31,7,FALSE
19,3,40,180.94,13.79,2374.87,131.94,14,26,5,FALSE
29,2,51,204,18.55,2244,124.67,19,29,3,TRUE
30,4,80,407,35.24,4700.82,261.16,26,47,6,FALSE
4,1,9,27,10.8,67.5,3.75,2,6,1,FALSE
25,8,78,374.97,13.02,10799.24,599.96,18,55,15,FALSE
165,22,409,2661.69,103.27,68604.07,3811.34,136,226,43,TRUE
13,3,35,158.32,19.35,1295.38,71.97,9,20,5,TRUE
7,2,15,51.89,9.73,276.75,15.38,5,11,3,FALSE
17,4,34,141.78,10.91,1843.11,102.39,11,21,7,FALSE
13,2,50,235.02,55.47,995.75,55.32,10,27,3,TRUE
13,3,44,179.85,10.9,2967.5,164.86,9,26,5,FALSE
47,6,134,558.77,13.94,22390.71,1243.93,26,83,11,FALSE
26,6,45,197.65,19.77,1976.54,109.81,19,30,11,FALSE
4,1,0,0,0,0,0,0,0,1,FALSE
13,1,29,123.19,32.49,467.1,25.95,5,16,1,FALSE
126,111,958,6073.58,111.66,330373.16,18354.06,116,603,221,TRUE
13,7,47,215.49,30.17,1539.24,85.51,10,27,13,FALSE
56,6,154,855.41,25.62,28563.14,1586.84,38,90,11,TRUE
18,8,127,646.11,21.71,19232.47,1068.47,15,80,15,FALSE
11,2,0,0,0,0,0,0,0,3,FALSE
4,1,9,27,10.8,67.5,3.75,2,6,1,FALSE
35,12,0,0,0,0,0,0,0,23,TRUE
51,31,330,1890.21,50.09,71326.03,3962.56,44,215,61,TRUE
18,2,38,161.42,21.34,1220.75,67.82,11,27,3,TRUE
19,2,50,219.62,18.3,2635.39,146.41,13,32,3,FALSE
12,2,50,240.37,52.25,1105.69,61.43,10,27,3,FALSE
60,3,174,938.26,33.29,26441.96,1469,40,112,5,TRUE
10,5,24,96,12.8,720,40,7,15,9,TRUE
36,2,332,1754.75,116.98,26321.3,1462.29,32,167,3,TRUE
26,2,69,331.71,45.18,2435.43,135.3,18,38,3,FALSE
45,9,150,871.1,42.07,18036.96,1002.05,38,86,15,TRUE
26,6,105,510.09,32.72,7948.87,441.6,23,54,11,FALSE
133,12,436,2801.85,78.71,99732.57,5540.7,96,241,23,FALSE
14,1,44,186.91,35.6,981.27,54.52,11,26,1,TRUE
16,3,34,153.8,18.8,1258.37,69.91,10,19,5,FALSE
5,1,9,27,10.8,67.5,3.75,3,6,1,FALSE
17,1,31,124,49.6,310,17.22,6,16,1,TRUE
14,1,79,346.99,75.63,1592.09,88.45,12,40,1,TRUE
45,9,0,0,0,0,0,0,0,17,FALSE
15,6,192,1014.8,32.09,32092.96,1782.94,10,148,11,FALSE
67,11,0,0,0,0,0,0,0,21,TRUE
107,14,317,2042.41,105.18,39661.86,2203.44,83,178,27,TRUE
41,7,0,0,0,0,0,0,0,13,TRUE
21,2,36,150.12,23.46,960.75,53.38,13,20,3,TRUE
38,26,390,1950,14.63,260000,14444.44,32,230,51,FALSE
130,17,0,0,0,0,0,0,0,33,TRUE
17,6,62,272.32,12.89,5752.84,319.6,13,36,11,FALSE
140,1,631,4253.87,218.15,82950.38,4608.35,112,349,1,FALSE
41,3,76,372.92,39.96,3480.62,193.37,25,48,5,TRUE
23,4,50,242.9,21.59,2732.61,151.81,18,29,7,FALSE
20,3,59,283.63,29.09,2765.43,153.64,17,33,5,FALSE
21,3,69,345,38.33,3105,172.5,18,39,5,FALSE
74,10,128,681.21,35.85,12942.93,719.05,58,86,11,TRUE
33,4,0,0,0,0,0,0,0,5,FALSE
4,1,4,8,5.33,12,0.67,2,3,1,FALSE
38,5,124,672.86,40.36,11218.59,623.26,33,73,9,FALSE
5,1,13,44.97,14.99,134.92,7.5,3,8,1,TRUE
15,3,41,187.98,23.39,1511.1,83.95,12,22,5,FALSE
4,1,7,19.65,7.86,49.13,2.73,2,5,1,FALSE
37,5,84,427.35,33,5534.14,307.45,27,47,9,FALSE
139,14,359,2288.64,65.93,79448.47,4413.8,79,215,26,TRUE
4,1,4,8,5.33,12,0.67,2,3,1,TRUE
43,25,180,923.27,44.01,19367.71,1075.98,29,109,49,TRUE
15,2,40,180.94,31.27,1046.88,58.16,11,22,3,TRUE
13,2,25,92.51,26.91,318.01,17.67,11,14,3,FALSE
132,5,395,2531.71,98.68,64955.35,3608.63,81,204,9,FALSE
24,3,73,325.54,31.35,3380.59,187.81,15,43,5,FALSE
112,18,312,1733.03,35.48,84641.27,4702.29,95,201,35,TRUE
25,2,0,0,0,0,0,0,0,3,FALSE
36,2,104,537.67,37.55,7698.49,427.69,21,59,3,TRUE
21,3,39,168.56,18.73,1517,84.28,15,27,5,FALSE
7,2,18,66.61,11.84,374.67,20.81,5,13,3,FALSE
55,11,138,748.82,53.49,10483.54,582.42,42,80,21,TRUE
24,3,45,197.65,39.53,988.27,54.9,18,25,5,FALSE
4,1,5,11.61,7.74,17.41,0.97,2,3,1,FALSE
4,2,16,62.51,15.63,250.04,13.89,2,9,3,FALSE
82,14,243,1371.46,42.93,43810.43,2433.91,60,168,27,TRUE
22,1,106,479.5,66.39,3463.04,192.39,19,54,1,FALSE
11,3,0,0,0,0,0,0,0,5,FALSE
45,4,116,621.48,39.63,9744.74,541.37,33,67,7,FALSE
294,117,1494,9417.85,107.97,821500.74,45638.93,258,1042,233,TRUE
55,6,158,816.85,22.6,29523.23,1640.18,37,112,10,TRUE
4,1,6,15.51,6.2,38.77,2.15,2,5,1,FALSE
57,11,141,734.53,31.65,17048.9,947.16,53,92,15,TRUE
19,3,40,180.94,13.79,2374.87,131.94,14,26,5,FALSE
16,4,35,133.26,7.61,2332,129.56,9,21,7,FALSE
7,1,14,46.51,7.97,271.29,15.07,4,9,1,FALSE
203,17,683,4254.28,48.9,370122.64,20562.37,170,407,31,FALSE
17,2,31,142.13,16.92,1193.92,66.33,13,19,3,TRUE
46,9,164,889.91,51.2,15465.98,859.22,40,92,17,FALSE
72,7,198,1134.13,55.85,23029.1,1279.39,51,112,13,TRUE
7,1,16,55.35,24.22,126.52,7.03,4,8,1,FALSE
26,4,68,345.95,38.44,3113.53,172.97,22,35,7,FALSE
25,6,0,0,0,0,0,0,0,11,TRUE
28,3,54,250.77,31.35,2006.15,111.45,16,30,5,FALSE
26,5,64,317.07,20.09,5005.15,278.06,19,38,9,TRUE
49,4,137,756.73,46.75,12247.78,680.43,28,91,7,TRUE
84,7,426,2593.26,64.93,103571.6,5753.98,79,220,13,FALSE
20,3,51,236.84,23.01,2437.44,135.41,15,32,5,FALSE
16,1,41,177.2,23.63,1328.99,73.83,9,26,1,FALSE
12,2,29,110.41,15.77,772.89,42.94,8,15,3,FALSE
49,3,35,136.74,15.95,1172.07,65.11,15,20,5,TRUE
123,8,390,2531.82,92.07,69625.12,3868.06,91,220,15,TRUE
52,2,227,981.08,11.36,84699.71,4705.54,36,153,3,FALSE
42,4,122,670.01,38.2,11750.88,652.83,34,74,7,FALSE
28,5,0,0,0,0,0,0,0,9,FALSE
116,13,215,1259.47,53.3,29758.92,1653.27,55,118,25,TRUE
41,7,139,796.18,42.38,14958.55,831.03,33,77,13,TRUE
11,1,53,216.64,31.77,1477.06,82.06,8,28,1,FALSE
18,2,38,161.42,21.34,1220.75,67.82,11,27,3,TRUE
143,22,457,2762.29,58.46,130518.11,7251.01,123,268,43,TRUE
29,4,63,306.05,25.97,3607.05,200.39,19,41,7,TRUE
36,5,100,524.79,44.98,6122.58,340.14,30,60,9,TRUE
186,28,434,2531.47,28.26,226792.97,12599.61,119,261,55,TRUE
143,13,486,3155.04,118.74,83833.94,4657.44,81,300,25,TRUE
17,2,42,189.99,31.11,1160.29,64.45,11,23,3,FALSE
90,11,276,1636.88,43.63,61406.52,3411.47,71,178,17,TRUE
61,15,333,1828.79,53.03,63061.62,3503.42,51,208,29,TRUE
13,2,21,69.76,7.47,651.1,36.17,8,13,3,FALSE
38,3,187,898.98,25.78,31351.77,1741.76,34,94,5,FALSE
4,1,4,8,5.33,12,0.67,2,3,1,FALSE
4,1,11,34.87,17.43,69.74,3.87,2,6,1,FALSE
5,1,6,15.51,7.75,31.02,1.72,2,4,1,FALSE
30,2,45,206.32,50.11,849.57,47.2,10,25,3,FALSE
18,1,18,72,21.82,237.6,13.2,14,7,1,TRUE
45,9,175,1025.15,43.01,24432.66,1357.37,39,97,17,FALSE
168,16,632,4216.97,132.53,134181.03,7454.5,109,354,31,TRUE
151,39,444,2518.56,55.35,114594.34,6366.35,98,314,77,TRUE
16,2,34,149.34,26.55,840.03,46.67,10,19,3,FALSE
36,4,71,361.21,31.55,4134.89,229.72,28,42,7,TRUE
14,4,59,280.54,25.05,3142.03,174.56,11,31,7,FALSE
65,9,184,992.19,31.5,31253.87,1736.33,56,100,17,TRUE
97,13,228,1016.75,14.37,71963.33,3997.96,74,130,25,FALSE
32,6,107,553.18,16.76,18255.01,1014.17,25,65,11,TRUE
200,52,1334,9292.36,93.57,922860.63,51270.04,188,896,92,TRUE
11,2,17,62.91,17.97,220.18,12.23,7,11,3,TRUE
25,1,61,279.68,29.44,2656.99,147.61,12,42,1,FALSE
20,4,48,200.16,11.08,3617.11,200.95,13,25,7,FALSE
56,8,171,965.1,46.37,20086.13,1115.9,44,97,15,TRUE
33,5,0,0,0,0,0,0,0,9,TRUE
161,13,660,4273.98,111.25,164197.54,9122.09,105,426,25,TRUE
51,7,166,959.71,88.18,10445.17,580.29,36,88,13,FALSE
60,25,0,0,0,0,0,0,0,49,FALSE
20,3,31,118.03,13.11,1062.25,59.01,13,21,5,TRUE
107,31,286,1653.47,42.71,64005.25,3555.85,92,186,52,TRUE
390,76,1614,11651.74,67.71,2005123.26,111395.74,298,1074,129,TRUE
8,5,37,140.87,15.09,1314.81,73.04,6,23,9,FALSE
12,1,43,175.76,20.83,1482.98,82.39,8,28,1,FALSE
75,10,232,1295.71,29.97,56026.56,3112.59,56,138,19,TRUE
4,1,4,8,5.33,12,0.67,2,3,1,FALSE
119,51,0,0,0,0,0,0,0,101,TRUE
39,5,211,1219.87,66.39,22415.05,1245.28,29,113,9,FALSE
80,7,347,2082,80.49,53855.82,2991.99,64,178,13,TRUE
135,18,315,1804.29,31.82,102297.08,5683.17,87,188,35,TRUE
32,3,72,349.77,57.38,2131.96,118.44,24,40,5,FALSE
81,9,225,1379.09,67.6,28133.41,1562.97,50,123,17,FALSE
15,2,24,96,16.59,555.43,30.86,10,15,3,TRUE
15,3,40,183.4,17.24,1950.69,108.37,14,22,5,FALSE
77,9,235,1358.62,42.01,43942.85,2441.27,63,145,17,TRUE
40,1,172,927.48,46.37,18549.57,1030.53,31,107,1,FALSE
30,6,76,380,17.93,8053.08,447.39,20,47,11,TRUE
11,2,26,108.42,21.68,542.09,30.12,8,16,3,FALSE
24,5,100,504.44,36.78,6918.03,384.33,21,52,9,FALSE
136,42,547,3477.58,104.67,115545.43,6419.19,102,341,83,TRUE
11,2,30,127.44,31.21,520.37,28.91,7,16,3,FALSE
157,19,239,1320.13,23.1,75436.07,4190.89,70,143,37,TRUE
5,1,8,24,9.6,60,3.33,2,5,1,TRUE
61,8,99,465.34,18.96,11422.07,634.56,27,63,15,TRUE
118,23,314,1869.62,37.84,92381.11,5132.28,93,194,38,TRUE
4,1,5,11.61,7.74,17.41,0.97,2,3,1,FALSE
5,3,14,51.81,9.21,291.41,16.19,3,9,5,FALSE
25,2,71,355,54.98,2292.07,127.34,20,38,3,TRUE
61,1,255,1153.51,14.48,91920.19,5106.68,43,170,1,FALSE
31,2,111,582.52,47.55,7135.87,396.44,19,69,3,TRUE
177,25,446,2811.49,63.59,124304.14,6905.79,101,255,48,FALSE
7,1,0,0,0,0,0,0,0,1,TRUE
208,56,675,4217.35,71.4,249113.14,13839.62,165,434,111,FALSE
7,1,17,60.94,30.47,121.89,6.77,3,9,1,FALSE
22,2,61,283.28,22.73,3530.05,196.11,12,34,3,FALSE
32,6,116,595,35.7,9916.61,550.92,26,66,11,TRUE
179,36,0,0,0,0,0,0,0,71,TRUE
174,15,448,3020.18,122.46,74486,4138.1,107,246,29,TRUE
71,1,77,388.42,53.57,2816.03,156.45,30,48,1,TRUE
34,6,105,529.66,17.66,15889.84,882.77,24,66,11,TRUE
15,1,25,100,27.78,360,20,7,13,1,FALSE
8,1,31,131.69,52.67,329.21,18.29,4,17,1,FALSE
36,3,0,0,0,0,0,0,0,5,FALSE
143,3,460,3148.93,192.91,51400.64,2855.59,95,258,5,TRUE
70,1,218,1298.01,198.03,8507.9,472.66,55,115,1,TRUE
134,13,367,2140.67,56.29,81406.65,4522.59,85,246,25,TRUE
26,6,97,455.94,14.63,14210.21,789.46,21,64,11,FALSE
41,4,0,0,0,0,0,0,0,7,FALSE
14,1,40,169.92,24.59,1173.97,65.22,10,21,1,FALSE
345,24,0,0,0,0,0,0,0,47,TRUE
5,1,17,62.91,25.16,157.27,8.74,3,9,1,FALSE
79,10,244,1362.73,30.54,60805.05,3378.06,59,147,19,TRUE
13,4,31,131.69,10.13,1711.91,95.11,10,19,7,FALSE
11,2,32,133.44,17.79,1000.78,55.6,9,20,3,FALSE
4,1,9,25.27,6.74,94.75,5.26,2,6,1,FALSE
54,6,166,941.62,40.76,21751.48,1208.42,38,100,11,TRUE
9,2,18,66.61,13.88,319.72,17.76,7,12,3,FALSE
33,2,79,401.91,68.75,2349.63,130.53,20,41,3,TRUE
43,6,156,884.9,95.86,8168.29,453.79,31,96,11,TRUE
129,16,0,0,0,0,0,0,0,31,TRUE
12,2,0,0,0,0,0,0,0,3,FALSE
45,10,0,0,0,0,0,0,0,19,FALSE
10,4,25,104.25,11.58,938.23,52.12,7,16,7,FALSE
45,18,136,713.72,26.88,18949.22,1052.73,39,77,35,FALSE
41,2,150,792.81,96.65,6503.52,361.31,34,75,3,FALSE
38,8,145,673.36,32.8,13824.9,768.05,29,72,15,TRUE
17,2,39,168.56,18.73,1517,84.28,11,27,3,TRUE
6,1,10,30,15,60,3.33,3,6,1,FALSE
133,3,310,1845.8,101.2,33667.41,1870.41,64,158,5,FALSE
22,6,87,422.64,16.66,10719.8,595.54,17,56,11,TRUE
13,5,0,0,0,0,0,0,0,9,FALSE
24,10,50,229.25,24.63,2133.77,118.54,20,28,19,TRUE
7,2,14,50.19,11.95,210.8,11.71,7,8,3,TRUE
64,11,229,1363.51,40.77,45603.91,2533.55,51,130,21,FALSE
30,6,63,276.72,12.03,6364.47,353.58,20,40,11,FALSE
10,2,30,129.66,13.3,1264.16,70.23,7,17,3,FALSE
10,2,27,112.59,16.37,774.04,43,6,16,3,TRUE
14,1,39,162.63,14.78,1788.9,99.38,9,25,1,TRUE
26,4,87,438.86,36.32,5302.92,294.61,17,58,7,TRUE
88,9,236,1421.28,38.1,53017.44,2945.41,65,131,17,TRUE
22,4,68,315.78,26.79,3721.72,206.76,19,38,7,FALSE
11,2,45,194.49,11.64,3250.71,180.59,10,27,3,FALSE
27,4,82,406.24,23.08,7149.9,397.22,18,49,7,TRUE
140,26,515,3236.98,62.96,166429.74,9246.1,113,297,51,TRUE
27,6,72,356.7,20.98,6063.94,336.89,21,44,11,TRUE
129,15,0,0,0,0,0,0,0,29,FALSE
25,1,36,147.15,33.72,642.1,35.67,11,20,1,FALSE
52,9,125,669.69,26.9,16671.86,926.21,42,82,15,TRUE
32,5,113,554.48,33.27,9241.31,513.4,29,63,6,FALSE
16,2,34,144.43,19.1,1092.25,60.68,10,23,3,TRUE
7,1,6,15.51,10.34,23.26,1.29,3,3,1,TRUE
31,5,55,255.41,29.13,2239.77,124.43,27,36,9,TRUE
95,12,244,1435.36,50.49,40808.22,2267.12,50,155,23,TRUE
20,3,49,208.15,26.02,1665.19,92.51,15,27,5,FALSE
80,5,0,0,0,0,0,0,0,9,TRUE
4,1,8,24,9.6,60,3.33,2,5,1,FALSE
5,1,7,16.25,10.84,24.38,1.35,3,5,1,FALSE
30,6,120,594.5,21.5,16441.74,913.43,23,61,11,TRUE
45,12,160,813.99,28.62,23153.61,1286.31,34,96,23,TRUE
105,4,303,1942.05,126.75,29754.91,1653.05,74,160,7,TRUE
42,5,138,766.53,44.35,13248.25,736.01,33,77,9,FALSE
4,1,13,46.6,11.65,186.42,10.36,2,9,1,FALSE
10,1,34,136,12.55,1473.33,81.85,6,21,1,FALSE
123,17,0,0,0,0,0,0,0,33,TRUE
163,5,840,5479.79,147.28,203890.96,11327.28,147,458,9,TRUE
26,5,59,307.36,34.44,2743.17,152.4,24,38,6,TRUE
26,2,78,403.25,41.97,3874.75,215.26,20,44,3,TRUE
61,7,167,937.66,44.65,19690.79,1093.93,39,111,13,FALSE
37,8,102,531.36,24.56,11498.13,638.79,31,61,15,FALSE
73,9,312,1625.35,35.37,74695.41,4149.74,56,161,17,FALSE
22,3,46,216.22,24.02,1945.98,108.11,13,28,5,FALSE
102,35,473,2889.33,57.03,146392.82,8132.93,74,283,69,FALSE
21,2,67,331.93,31.7,3476.06,193.11,19,38,3,TRUE
69,8,257,1505.5,47.28,47938.33,2663.24,63,136,15,TRUE
255,41,381,2583.7,111.55,59845.66,3324.76,132,215,81,TRUE
84,18,267,1499.13,34.71,64740.1,3596.67,62,161,35,FALSE
39,6,138,762.25,36.48,15925.61,884.76,35,73,11,TRUE
68,20,0,0,0,0,0,0,0,33,TRUE
12,3,26,110.45,11.33,1076.85,59.82,7,17,5,FALSE
46,11,143,766.13,32.25,18195.59,1010.87,38,88,21,FALSE
22,5,48,228.23,22.31,2335.02,129.72,16,29,9,TRUE
24,6,80,380.39,25.6,5651.52,313.97,10,48,11,FALSE
43,8,66,320.63,36.34,2829.06,157.17,27,41,15,TRUE
10,2,18,62.27,24.91,155.67,8.65,8,12,3,TRUE
46,10,94,441.84,36.82,5302.1,294.56,34,66,19,TRUE
20,9,92,468.05,27.71,7904.79,439.15,17,54,17,FALSE
83,20,226,1300.6,39.19,43166.62,2398.15,62,149,39,TRUE
65,9,178,940.8,39.91,22176.04,1232,45,123,17,TRUE
50,3,0,0,0,0,0,0,0,5,TRUE
56,12,236,1288.43,40.26,41229.63,2290.53,46,124,23,FALSE
377,48,1295,8764.8,103.28,743817.61,41323.2,303,804,89,FALSE
11,1,27,102.8,15.42,685.32,38.07,6,17,1,FALSE
195,6,1039,7352.81,215.29,251126.79,13951.49,138,595,11,TRUE
143,1,618,3665.2,46.5,288888.69,16049.37,114,391,93,FALSE
68,6,200,1064.39,49.28,22990.73,1277.26,41,128,11,TRUE
9,2,14,46.51,8.86,244.16,13.56,6,7,3,FALSE
32,4,73,368.24,44.64,3037.99,168.78,24,40,7,FALSE
127,16,462,3042.25,72.43,127774.61,7098.59,105,258,31,TRUE
28,9,125,669.69,22.06,20327.18,1129.29,23,82,17,TRUE
123,11,277,1636.21,57.92,46222.9,2567.94,64,164,21,FALSE
4,1,4,8,5.33,12,0.67,2,3,1,FALSE
14,1,37,159.91,56.44,453.08,25.17,10,20,1,TRUE
