contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_edges,del_sum_degree,la
False,12,20,1.6667,1.6667,10,40,3.64,20,40,74
False,23,40,1.7391,1.7391,18,80,3.64,40,80,4
False,20,30,1.5,1.5,13,60,3.16,30,60,11
False,24,48,2.0,2.0,17,96,4.17,30,60,176
False,14,21,1.5,1.5,11,42,3.5,21,42,3
False,12,20,1.6667,1.6667,10,40,3.64,20,40,74
False,22,41,1.8636,1.8636,14,82,3.9,41,82,6
False,25,48,1.92,1.92,17,96,4.0,41,82,15
False,16,26,1.625,1.625,12,52,3.47,21,42,5
False,35,65,1.8571,1.8571,17,130,3.82,65,130,18
False,11,17,1.5455,1.5455,8,34,3.4,17,34,1
False,17,25,1.4706,1.4706,10,50,3.12,17,34,1
False,21,36,1.7143,1.7143,14,72,3.6,36,72,8
False,18,30,1.6667,1.6667,12,60,3.53,28,56,21
False,24,40,1.6667,1.6667,13,80,3.48,25,50,10
False,37,73,1.973,1.973,14,146,4.06,70,140,143
False,17,29,1.7059,1.7059,10,58,3.62,31,62,64
False,24,39,1.625,1.625,14,78,3.39,38,76,9
False,11,17,1.5455,1.5455,8,34,3.4,17,34,1
False,11,18,1.6364,1.6364,8,36,3.6,18,36,0
False,11,21,1.9091,1.9091,10,42,4.2,21,42,3
False,35,69,1.9714,1.9714,20,138,4.06,70,140,93
False,20,31,1.55,1.55,12,62,3.26,31,62,2
False,31,54,1.7419,1.7419,13,108,3.6,21,42,572
False,20,30,1.5,1.5,13,60,3.16,30,60,9
False,29,62,2.1379,2.1379,16,124,4.43,53,106,76
False,17,28,1.6471,1.6471,12,56,3.5,27,54,4
False,17,25,1.4706,1.4706,10,50,3.12,79,158,1
False,14,22,1.5714,1.5714,12,44,3.38,22,44,2
False,17,30,1.7647,1.7647,12,60,3.75,30,60,26
False,26,45,1.7308,1.7308,12,90,3.6,52,104,23
False,15,28,1.8667,1.8667,12,56,4.0,17,34,105
False,16,27,1.6875,1.6875,12,54,3.6,26,52,465
False,18,27,1.5,1.5,10,54,3.18,27,54,2
False,24,38,1.5833,1.5833,13,76,3.3,38,76,8
False,11,17,1.5455,1.5455,8,34,3.4,17,34,2
False,32,63,1.9688,1.9688,15,126,4.06,53,106,57
False,20,30,1.5,1.5,11,60,3.16,30,60,3
False,19,30,1.5789,1.5789,10,60,3.33,12,24,6
False,19,38,2.0,2.0,14,76,4.22,38,76,472
False,34,80,2.3529,2.3529,17,160,4.85,56,112,124
False,12,19,1.5833,1.5833,10,38,3.45,19,38,1
False,18,30,1.6667,1.6667,12,60,3.53,28,56,21
False,11,18,1.6364,1.6364,8,36,3.6,18,36,100
False,16,27,1.6875,1.6875,12,54,3.6,26,52,465
False,14,21,1.5,1.5,9,42,3.23,21,42,3
False,12,19,1.5833,1.5833,9,38,3.45,16,32,95
False,13,20,1.5385,1.5385,9,40,3.64,20,40,2
